,referee_name,avg_yellow_cards,avg_red_cards
0,A Kitchen,3.0,0.0
1,A Madley,4.17,0.06
2,A Taylor,2.96,0.18
3,C Kavanagh,3.96,0.23
4,C Pawson,4.4,0.15000000000000002
5,D Bond,4.23,0.08
6,D Coote,5.0,0.0
7,D England,4.12,0.18
8,J Brooks,5.27,0.0
9,J Gillett,4.38,0.0
10,J Smith,4.33,0.0
11,K Kavanagh,3.0,0.0
12,L Smith,3.2,0.2
13,M Oliver,4.54,0.23
14,M Salisbury,3.0,0.21000000000000002
15,O Oliver,5.0,0.0
16,P Bankes,3.9,0.15000000000000002
17,R Jones,4.2,0.2
18,S Allison,8.0,0.0
19,S Attwell,3.61,0.12
20,S Barrott,4.33,0.05
21,S Hooper,4.67,0.1
22,T Bramall,3.11,0.11
23,T Harrington,3.81,0.18
24,T Robinson,4.58,0.14
